#Easting Northing Elev. Mass/Area  [-4->-3) [-3->-2) [-2->-1) [-1->0) [0->1) [1->2) [2->3) [3->4) 
543630 1382690 300 0.00092 6.7e-48 2.2e-38 2.0e-30 6.4e-23 5.4e-17 7.3e-13 3.9e-05 1.0e+02 
543970 1382690 300 0.00066 9.6e-51 1.2e-40 3.3e-32 3.7e-24 7.9e-18 9.9e-14 1.2e-05 1.0e+02 
544315 1382690 300 0.00047 1.0e-53 5.1e-43 4.6e-34 1.9e-25 1.1e-18 1.4e-14 3.7e-06 1.0e+02 
544665 1382690 300 0.00033 8.6e-57 1.8e-45 5.5e-36 8.7e-27 1.4e-19 2.1e-15 1.1e-06 1.0e+02 
545020 1382690 300 0.00022 5.2e-60 4.8e-48 5.4e-38 3.6e-28 1.7e-20 3.4e-16 3.0e-07 1.0e+02 
545380 1382690 300 0.00015 2.4e-63 1.1e-50 4.5e-40 1.3e-29 2.0e-21 6.1e-17 7.7e-08 1.0e+02 
545745 1382690 300 0.00010 7.9e-67 1.8e-53 3.1e-42 4.4e-31 2.2e-22 1.1e-17 1.9e-08 1.0e+02 
546115 1382690 300 6.5e-05 1.9e-70 2.4e-56 1.8e-44 1.3e-32 2.2e-23 2.2e-18 4.5e-09 1.0e+02 
546490 1382690 300 4.2e-05 3.3e-74 2.5e-59 8.6e-47 3.4e-34 2.1e-24 4.2e-19 1.0e-09 1.0e+02 
546870 1382690 300 2.6e-05 4.2e-78 2.0e-62 3.3e-49 7.8e-36 1.9e-25 7.9e-20 2.2e-10 1.0e+02 
547255 1382690 300 1.6e-05 3.7e-82 1.2e-65 1.1e-51 1.6e-37 1.6e-26 1.5e-20 4.4e-11 1.0e+02 
547645 1382690 300 9.5e-06 2.3e-86 5.8e-69 2.8e-54 2.9e-39 1.3e-27 2.6e-21 8.6e-12 1.0e+02 
548040 1382690 300 5.5e-06 1.0e-90 2.1e-72 5.9e-57 4.5e-41 9.4e-29 4.6e-22 1.6e-12 1.0e+02 
548440 1382690 300 3.1e-06 3.1e-95 5.5e-76 1.0e-59 6.3e-43 6.4e-30 7.8e-23 2.7e-13 1.0e+02 
548845 1382690 300 1.7e-06 6.4e-100 1.1e-79 1.4e-62 7.6e-45 4.1e-31 1.3e-23 4.5e-14 1.0e+02 
549255 1382690 300 9.3e-07 9.0e-105 1.6e-83 1.5e-65 8.0e-47 2.4e-32 2.1e-24 7.1e-15 1.0e+02 
549670 1382690 300 4.9e-07 8.5e-110 1.8e-87 1.3e-68 7.3e-49 1.3e-33 3.3e-25 1.1e-15 1.0e+02 
550090 1382690 300 2.5e-07 5.4e-115 1.4e-91 9.1e-72 5.7e-51 6.8e-35 5.1e-26 1.5e-16 1.0e+02 
550515 1382690 300 1.2e-07 2.3e-120 8.2e-96 4.9e-75 3.9e-53 3.2e-36 7.5e-27 2.0e-17 1.0e+02 
550945 1382690 300 5.8e-08 6.2e-126 3.4e-100 2.1e-78 2.3e-55 1.4e-37 1.1e-27 2.5e-18 1.0e+02 
551380 1382690 300 2.7e-08 1.1e-131 1.0e-104 6.9e-82 1.1e-57 5.6e-39 1.5e-28 3.0e-19 1.0e+02 
551820 1382690 300 1.2e-08 1.3e-137 2.1e-109 1.8e-85 4.8e-60 2.1e-40 2.0e-29 3.5e-20 1.0e+02 
552265 1382690 300 5.2e-09 9.2e-144 3.2e-114 3.4e-89 1.8e-62 7.1e-42 2.7e-30 3.8e-21 1.0e+02 
552715 1382690 300 2.2e-09 4.2e-150 3.3e-119 5.1e-93 5.4e-65 2.2e-43 3.4e-31 3.9e-22 1.0e+02 
553170 1382690 300 8.7e-10 1.2e-156 2.4e-124 5.9e-97 1.4e-67 6.4e-45 4.1e-32 3.8e-23 1.0e+02 
553630 1382690 300 3.4e-10 2.1e-163 1.2e-129 5.0e-101 3.1e-70 1.7e-46 4.9e-33 3.6e-24 1.0e+02 
554095 1382690 300 1.3e-10 2.3e-170 4.0e-135 3.3e-105 5.7e-73 4.0e-48 5.5e-34 3.3e-25 1.0e+02 
554565 1382690 300 4.5e-11 1.5e-177 9.3e-141 1.6e-109 8.7e-76 8.7e-50 6.1e-35 3.1e-26 1.0e+02 
555040 1382690 300 1.6e-11 5.6e-185 1.4e-146 5.6e-114 1.1e-78 1.7e-51 6.4e-36 3.2e-27 1.0e+02 
555520 1382690 300 5.2e-12 1.3e-192 1.5e-152 1.5e-118 1.2e-81 3.1e-53 6.5e-37 4.1e-28 1.0e+02 
556005 1382690 300 1.6e-12 1.7e-200 9.9e-159 2.9e-123 1.0e-84 5.1e-55 6.3e-38 6.8e-29 1.0e+02 
556495 1382690 300 5.0e-13 1.3e-208 4.4e-165 4.0e-128 7.5e-88 7.5e-57 5.9e-39 1.3e-29 1.0e+02 
556990 1382690 300 1.5e-13 5.8e-217 1.3e-171 4.1e-133 4.4e-91 9.9e-59 5.3e-40 2.8e-30 1.0e+02 
557490 1382690 300 4.1e-14 1.4e-225 2.3e-178 3.0e-138 2.1e-94 1.2e-60 4.6e-41 6.2e-31 1.0e+02 
557995 1382690 300 1.1e-14 2.0e-234 2.7e-185 1.5e-143 8.4e-98 1.3e-62 3.8e-42 1.4e-31 1.0e+02 
558505 1382690 300 2.8e-15 1.5e-243 2.0e-192 5.7e-149 2.7e-101 1.2e-64 3.0e-43 3.0e-32 1.0e+02 
559020 1382690 300 6.8e-16 6.2e-253 9.3e-200 1.5e-154 6.9e-105 1.1e-66 2.2e-44 6.5e-33 1.0e+02 
559540 1382690 300 1.6e-16 1.4e-262 2.7e-207 2.7e-160 1.4e-108 8.1e-69 1.6e-45 1.4e-33 1.0e+02 
560065 1382690 300 3.6e-17 1.7e-272 4.7e-215 3.4e-166 2.3e-112 5.5e-71 1.1e-46 3.0e-34 1.0e+02 
560595 1382690 300 7.6e-18 1.0e-282 5.0e-223 2.9e-172 3.1e-116 3.4e-73 7.0e-48 6.4e-35 1.0e+02 
561130 1382690 300 1.5e-18 3.3e-293 3.2e-231 1.7e-178 3.2e-120 1.8e-75 4.3e-49 1.4e-35 1.0e+02 
561670 1382690 300 3.0e-19 0.0 1.2e-239 6.8e-185 2.6e-124 8.5e-78 2.5e-50 2.8e-36 1.0e+02 
562215 1382690 300 5.4e-20 0.0 2.8e-248 1.8e-191 1.7e-128 3.6e-80 1.4e-51 5.9e-37 1.0e+02 
562765 1382690 300 9.5e-21 0.0 3.7e-257 3.3e-198 8.3e-133 1.3e-82 7.3e-53 1.2e-37 1.0e+02 
563320 1382690 300 1.6e-21 0.0 2.8e-266 4.0e-205 3.2e-137 4.2e-85 3.6e-54 2.4e-38 1.0e+02 
563880 1382690 300 2.5e-22 0.0 1.2e-275 3.1e-212 9.8e-142 1.2e-87 1.7e-55 4.8e-39 1.0e+02 
564445 1382690 300 3.7e-23 0.0 3.1e-285 1.6e-219 2.3e-146 2.9e-90 7.5e-57 9.4e-40 1.0e+02 
565015 1382690 300 5.3e-24 0.0 4.3e-295 5.3e-227 4.0e-151 6.2e-93 3.1e-58 1.8e-40 1.0e+02 
565590 1382690 300 7.2e-25 0.0 0.0 1.1e-234 5.5e-156 1.2e-95 1.2e-59 3.5e-41 1.0e+02 
566170 1382690 300 9.2e-26 0.0 0.0 1.6e-242 5.6e-161 1.9e-98 4.5e-61 6.5e-42 1.0e+02 
566755 1382690 300 1.1e-26 0.0 0.0 1.4e-250 4.4e-166 2.6e-101 1.6e-62 1.2e-42 1.0e+02 
567345 1382690 300 1.3e-27 0.0 0.0 7.4e-259 2.6e-171 3.1e-104 5.1e-64 2.2e-43 1.0e+02 
567940 1382690 300 1.4e-28 0.0 0.0 2.5e-267 1.1e-176 3.2e-107 1.5e-65 3.8e-44 1.0e+02 
568540 1382690 300 1.4e-29 0.0 0.0 5.3e-276 3.7e-182 2.8e-110 4.4e-67 6.7e-45 1.0e+02 
569145 1382690 300 1.3e-30 0.0 0.0 6.8e-285 8.9e-188 2.1e-113 1.2e-68 1.1e-45 1.0e+02 
569755 1382690 300 1.2e-31 0.0 0.0 0.0 1.6e-193 1.3e-116 2.9e-70 1.9e-46 1.0e+02 
570370 1382690 300 1.0e-32 0.0 0.0 0.0 2.1e-199 7.4e-120 6.7e-72 3.2e-47 1.0e+02 
570990 1382690 300 8.4e-34 0.0 0.0 0.0 2.0e-205 3.4e-123 1.4e-73 5.1e-48 1.0e+02 
571615 1382690 300 6.4e-35 0.0 0.0 0.0 1.4e-211 1.3e-126 2.9e-75 8.0e-49 1.0e+02 
572245 1382690 300 4.6e-36 0.0 0.0 0.0 6.8e-218 4.4e-130 5.4e-77 1.2e-49 1.0e+02 
572880 1382690 300 3.0e-37 0.0 0.0 0.0 2.4e-224 1.2e-133 9.3e-79 1.9e-50 1.0e+02 
573520 1382690 300 1.9e-38 0.0 0.0 0.0 6.2e-231 2.8e-137 1.5e-80 2.7e-51 1.0e+02 
