#Easting Northing Elev. Mass/Area  [-4->-3) [-3->-2) [-2->-1) [-1->0) [0->1) [1->2) [2->3) [3->4) 
519164 1431677 300 2.5e-41 0.0 0.0 0.0 0.0 5.0e-177 3.1e-88 1.5e-43 1.0e+02 
518979 1432368 300 3.9e-42 0.0 0.0 0.0 0.0 2.6e-182 6.5e-91 6.9e-45 1.0e+02 
518793 1433063 300 6.0e-43 0.0 0.0 0.0 0.0 1.1e-187 1.2e-93 2.9e-46 1.0e+02 
518605 1433763 300 8.9e-44 0.0 0.0 0.0 0.0 3.4e-193 1.9e-96 1.1e-47 1.0e+02 
518416 1434468 300 1.3e-44 0.0 0.0 0.0 0.0 8.2e-199 2.6e-99 4.2e-49 1.0e+02 
518226 1435178 300 1.8e-45 0.0 0.0 0.0 0.0 1.5e-204 3.1e-102 1.4e-50 1.0e+02 
518034 1435893 300 2.3e-46 0.0 0.0 0.0 0.0 2.1e-210 3.3e-105 4.6e-52 1.0e+02 
517841 1436613 300 3.0e-47 0.0 0.0 0.0 0.0 2.2e-216 2.9e-108 1.4e-53 1.0e+02 
517647 1437337 300 3.7e-48 0.0 0.0 0.0 0.0 1.7e-222 2.3e-111 3.8e-55 1.0e+02 
517452 1438067 300 4.5e-49 0.0 0.0 0.0 0.0 1.0e-228 1.6e-114 9.6e-57 1.0e+02 
517255 1438801 300 5.2e-50 0.0 0.0 0.0 0.0 4.5e-235 9.0e-118 2.3e-58 1.0e+02 
517057 1439540 300 5.8e-51 0.0 0.0 0.0 0.0 1.5e-241 4.5e-121 5.0e-60 1.0e+02 
516858 1440283 300 6.2e-52 0.0 0.0 0.0 0.0 3.7e-248 1.9e-124 1.0e-61 1.0e+02 
516657 1441032 300 6.4e-53 0.0 0.0 0.0 0.0 6.6e-255 7.1e-128 1.9e-63 1.0e+02 
516455 1441785 300 6.4e-54 0.0 0.0 0.0 0.0 8.9e-262 2.2e-131 3.4e-65 1.0e+02 
516252 1442544 300 6.1e-55 0.0 0.0 0.0 0.0 0.0 5.9e-135 5.4e-67 1.0e+02 
516048 1443307 300 5.6e-56 0.0 0.0 0.0 0.0 0.0 1.3e-138 8.1e-69 1.0e+02 
515842 1444075 300 5.0e-57 0.0 0.0 0.0 0.0 0.0 2.6e-142 1.1e-70 1.0e+02 
515635 1444847 300 4.3e-58 0.0 0.0 0.0 0.0 0.0 4.2e-146 1.4e-72 1.0e+02 
515427 1445625 300 3.5e-59 0.0 0.0 0.0 0.0 0.0 5.8e-150 1.6e-74 1.0e+02 
515217 1446407 300 2.7e-60 0.0 0.0 0.0 0.0 0.0 6.8e-154 1.7e-76 1.0e+02 
515006 1447195 300 2.1e-61 0.0 0.0 0.0 0.0 0.0 6.5e-158 1.6e-78 1.0e+02 
514794 1447987 300 1.5e-62 0.0 0.0 0.0 0.0 0.0 5.4e-162 1.4e-80 1.0e+02 
514580 1448783 300 1.0e-63 0.0 0.0 0.0 0.0 0.0 3.7e-166 1.1e-82 1.0e+02 
514365 1449585 300 7.0e-65 0.0 0.0 0.0 0.0 0.0 2.1e-170 8.4e-85 1.0e+02 
514149 1450392 300 4.4e-66 0.0 0.0 0.0 0.0 0.0 1.0e-174 5.6e-87 1.0e+02 
513932 1451203 300 2.7e-67 0.0 0.0 0.0 0.0 0.0 4.0e-179 3.4e-89 1.0e+02 
513713 1452019 300 1.6e-68 0.0 0.0 0.0 0.0 0.0 1.3e-183 1.9e-91 1.0e+02 
513493 1452840 300 9.0e-70 0.0 0.0 0.0 0.0 0.0 3.6e-188 9.5e-94 1.0e+02 
513272 1453666 300 4.8e-71 0.0 0.0 0.0 0.0 0.0 8.1e-193 4.3e-96 1.0e+02 
513049 1454497 300 2.5e-72 0.0 0.0 0.0 0.0 0.0 1.5e-197 1.8e-98 1.0e+02 
512826 1455332 300 1.2e-73 0.0 0.0 0.0 0.0 0.0 2.3e-202 6.7e-101 1.0e+02 
512600 1456173 300 5.7e-75 0.0 0.0 0.0 0.0 0.0 2.8e-207 2.2e-103 1.0e+02 
512374 1457018 300 2.6e-76 0.0 0.0 0.0 0.0 0.0 2.9e-212 6.8e-106 1.0e+02 
512146 1457868 300 1.1e-77 0.0 0.0 0.0 0.0 0.0 2.4e-217 1.9e-108 1.0e+02 
511917 1458723 300 4.5e-79 0.0 0.0 0.0 0.0 0.0 1.6e-222 4.6e-111 1.0e+02 
511687 1459583 300 1.7e-80 0.0 0.0 0.0 0.0 0.0 9.0e-228 1.0e-113 1.0e+02 
511455 1460447 300 6.5e-82 0.0 0.0 0.0 0.0 0.0 4.1e-233 2.0e-116 1.0e+02 
511222 1461316 300 2.3e-83 0.0 0.0 0.0 0.0 0.0 1.5e-238 3.6e-119 1.0e+02 
510988 1462191 300 7.7e-85 0.0 0.0 0.0 0.0 0.0 0.0 5.7e-122 1.0e+02 
510752 1463070 300 2.5e-86 0.0 0.0 0.0 0.0 0.0 0.0 8.1e-125 1.0e+02 
510516 1463953 300 7.6e-88 0.0 0.0 0.0 0.0 0.0 0.0 1.0e-127 1.0e+02 
510277 1464842 300 2.2e-89 0.0 0.0 0.0 0.0 0.0 0.0 1.2e-130 1.0e+02 
510038 1465735 300 6.2e-91 0.0 0.0 0.0 0.0 0.0 0.0 1.2e-133 1.0e+02 
509797 1466634 300 1.6e-92 0.0 0.0 0.0 0.0 0.0 0.0 1.0e-136 1.0e+02 
509555 1467537 300 4.1e-94 0.0 0.0 0.0 0.0 0.0 0.0 8.2e-140 1.0e+02 
509312 1468445 300 9.7e-96 0.0 0.0 0.0 0.0 0.0 0.0 5.8e-143 1.0e+02 
509067 1469358 300 2.2e-97 0.0 0.0 0.0 0.0 0.0 0.0 3.6e-146 1.0e+02 
508822 1470275 300 4.7e-99 0.0 0.0 0.0 0.0 0.0 0.0 2.0e-149 1.0e+02 
508574 1471198 300 9.6e-101 0.0 0.0 0.0 0.0 0.0 0.0 9.5e-153 1.0e+02 
508326 1472125 300 1.8e-102 0.0 0.0 0.0 0.0 0.0 0.0 4.1e-156 1.0e+02 
508076 1473057 300 3.4e-104 0.0 0.0 0.0 0.0 0.0 0.0 1.5e-159 1.0e+02 
507825 1473994 300 5.9e-106 0.0 0.0 0.0 0.0 0.0 0.0 5.1e-163 1.0e+02 
507573 1474936 300 9.6e-108 0.0 0.0 0.0 0.0 0.0 0.0 1.5e-166 1.0e+02 
507319 1475883 300 1.5e-109 0.0 0.0 0.0 0.0 0.0 0.0 3.7e-170 1.0e+02 
507064 1476834 300 2.2e-111 0.0 0.0 0.0 0.0 0.0 0.0 8.2e-174 1.0e+02 
506808 1477790 300 3.1e-113 0.0 0.0 0.0 0.0 0.0 0.0 1.6e-177 1.0e+02 
506550 1478751 300 4.1e-115 0.0 0.0 0.0 0.0 0.0 0.0 2.7e-181 1.0e+02 
532281 1382713 300 4.6e+03 7.0 18 29 29 13 3.2 0.38 0.012 
532271 1382742 300 4.5e+03 7.0 18 29 29 13 3.2 0.38 0.012 
532259 1382775 300 4.3e+03 7.0 18 29 29 13 3.2 0.37 0.011 
532246 1382812 300 4.2e+03 6.9 18 29 29 13 3.2 0.37 0.011 
532230 1382854 300 4.0e+03 6.8 18 29 29 13 3.2 0.37 0.011 
532213 1382901 300 3.8e+03 6.7 18 29 29 13 3.2 0.37 0.011 
532194 1382953 300 3.6e+03 6.6 18 29 29 14 3.2 0.37 0.011 
532174 1383009 300 3.3e+03 6.4 18 29 29 14 3.2 0.37 0.011 
532151 1383071 300 3.0e+03 6.2 17 29 30 14 3.3 0.38 0.012 
532128 1383136 300 2.7e+03 5.9 17 29 30 14 3.4 0.39 0.012 
532102 1383207 300 2.4e+03 5.6 16 29 30 14 3.5 0.40 0.012 
532075 1383282 300 2.1e+03 5.3 16 29 31 15 3.6 0.42 0.013 
532045 1383362 300 1.8e+03 4.9 15 29 31 15 3.7 0.44 0.013 
532015 1383446 300 1.5e+03 4.5 15 29 31 16 3.9 0.46 0.014 
531982 1383536 300 1.3e+03 4.1 14 29 32 16 4.1 0.49 0.015 
531948 1383630 300 1.1e+03 3.7 13 28 33 17 4.4 0.52 0.016 
531912 1383728 300 8.7e+02 3.3 13 28 33 18 4.7 0.56 0.018 
531874 1383832 300 7.0e+02 2.9 12 27 34 19 5.0 0.60 0.019 
531835 1383940 300 5.5e+02 2.5 11 26 34 20 5.4 0.66 0.021 
531794 1384053 300 4.3e+02 2.1 9.7 25 35 22 5.9 0.73 0.024 
531751 1384170 300 3.3e+02 1.7 8.6 24 35 23 6.6 0.81 0.027 
531707 1384292 300 2.5e+02 1.4 7.5 23 35 25 7.3 0.91 0.030 
531661 1384419 300 1.8e+02 1.1 6.4 21 35 27 8.2 1.0 0.035 
531613 1384551 300 1.3e+02 0.81 5.3 19 35 29 9.3 1.2 0.040 
531563 1384687 300 97 0.59 4.3 17 35 31 11 1.4 0.047 
531512 1384828 300 69 0.41 3.4 15 33 34 12 1.6 0.056 
531459 1384973 300 49 0.27 2.6 13 32 36 14 1.9 0.067 
531404 1385124 300 34 0.17 1.9 11 30 39 16 2.3 0.082 
531348 1385279 300 23 0.10 1.3 8.5 28 41 19 2.8 0.10 
531290 1385439 300 16 0.058 0.87 6.6 25 42 22 3.4 0.12 
531230 1385603 300 10 0.031 0.55 4.9 22 44 25 4.1 0.15 
531168 1385772 300 7.0 0.015 0.33 3.5 19 44 28 4.9 0.19 
531105 1385946 300 4.6 0.0070 0.19 2.4 16 44 32 6.0 0.24 
531040 1386125 300 3.0 0.0030 0.10 1.6 13 43 35 7.2 0.29 
530973 1386308 300 2.0 0.0012 0.051 0.98 9.9 41 39 8.7 0.37 
530905 1386496 300 1.3 0.00042 0.024 0.58 7.5 38 43 10 0.46 
530835 1386688 300 0.83 0.00014 0.011 0.32 5.5 35 46 12 0.58 
530763 1386886 300 0.53 4.1e-05 0.0043 0.17 3.9 32 49 15 0.73 
530689 1387088 300 0.33 1.1e-05 0.0016 0.086 2.7 28 51 17 0.92 
530614 1387294 300 0.21 2.7e-06 0.00056 0.040 1.8 24 53 20 1.2 
530537 1387506 300 0.13 5.7e-07 0.00018 0.018 1.1 20 54 24 1.4 
530458 1387722 300 0.082 1.1e-07 5.1e-05 0.0072 0.67 16 54 27 1.8 
530378 1387943 300 0.051 1.9e-08 1.3e-05 0.0028 0.39 13 53 31 2.3 
530296 1388168 300 0.031 2.8e-09 3.2e-06 0.00098 0.22 10 52 35 2.8 
530212 1388399 300 0.019 3.7e-10 6.9e-07 0.00032 0.11 7.7 50 39 3.5 
530127 1388634 300 0.012 4.2e-11 1.3e-07 9.8e-05 0.058 5.6 47 43 4.3 
530040 1388873 300 0.0070 4.2e-12 2.3e-08 2.7e-05 0.028 4.0 43 48 5.2 
529951 1389117 300 0.0042 3.5e-13 3.6e-09 7.0e-06 0.013 2.8 39 52 6.3 
529860 1389367 300 0.0025 2.5e-14 4.8e-10 1.6e-06 0.0054 1.9 35 55 7.7 
529768 1389620 300 0.0015 1.5e-15 5.8e-11 3.4e-07 0.0022 1.2 31 59 9.3 
529674 1389879 300 0.00086 7.9e-17 6.1e-12 6.5e-08 0.00085 0.76 26 62 11 
529578 1390142 300 0.00050 3.4e-18 5.5e-13 1.1e-08 0.00031 0.46 22 64 13 
529480 1390410 300 0.00029 1.2e-19 4.3e-14 1.7e-09 0.00010 0.27 18 66 16 
529381 1390682 300 0.00017 3.6e-21 3.0e-15 2.4e-10 3.3e-05 0.15 15 66 19 
529280 1390959 300 9.6e-05 8.7e-23 1.7e-16 3.0e-11 9.6e-06 0.083 12 66 22 
529178 1391241 300 5.4e-05 1.7e-24 8.6e-18 3.2e-12 2.6e-06 0.043 9.2 65 25 
529073 1391528 300 3.1e-05 2.7e-26 3.6e-19 3.1e-13 6.6e-07 0.022 7.0 64 29 
528967 1391819 300 1.7e-05 3.4e-28 1.3e-20 2.6e-14 1.5e-07 0.010 5.2 61 34 
528860 1392115 300 9.6e-06 3.4e-30 3.7e-22 1.9e-15 3.3e-08 0.0047 3.7 58 38 
528750 1392416 300 5.3e-06 2.7e-32 9.1e-24 1.2e-16 6.5e-09 0.0020 2.6 54 43 
528639 1392721 300 3.0e-06 1.6e-34 1.8e-25 6.8e-18 1.2e-09 0.00085 1.8 50 49 
528526 1393031 300 1.6e-06 7.8e-37 3.0e-27 3.2e-19 1.9e-10 0.00033 1.2 45 54 
528411 1393346 300 9.0e-07 2.8e-39 4.0e-29 1.3e-20 2.9e-11 0.00012 0.76 40 59 
528295 1393666 300 4.9e-07 7.8e-42 4.3e-31 4.4e-22 3.8e-12 4.3e-05 0.47 35 65 
528177 1393990 300 2.7e-07 1.6e-44 3.7e-33 1.3e-23 4.6e-13 1.4e-05 0.28 30 70 
528058 1394319 300 1.5e-07 2.6e-47 2.6e-35 3.1e-25 5.0e-14 4.4e-06 0.16 25 75 
527936 1394652 300 8.1e-08 3.0e-50 1.4e-37 6.4e-27 4.8e-15 1.3e-06 0.090 20 80 
527813 1394991 300 4.4e-08 2.5e-53 5.9e-40 1.1e-28 4.1e-16 3.5e-07 0.048 16 84 
527688 1395334 300 2.4e-08 1.5e-56 2.0e-42 1.5e-30 3.1e-17 8.9e-08 0.025 13 87 
527562 1395681 300 1.3e-08 6.7e-60 5.1e-45 1.7e-32 2.1e-18 2.1e-08 0.012 9.6 90 
527433 1396034 300 7.1e-09 2.1e-63 9.8e-48 1.6e-34 1.2e-19 4.7e-09 0.0058 7.1 93 
527303 1396391 300 3.8e-09 4.6e-67 1.5e-50 1.2e-36 6.2e-21 9.6e-10 0.0026 5.2 95 
527172 1396752 300 2.1e-09 7.4e-71 1.7e-53 7.5e-39 2.8e-22 1.8e-10 0.0012 3.7 96 
527038 1397119 300 1.1e-09 7.9e-75 1.4e-56 3.7e-41 1.1e-23 3.2e-11 0.00048 2.5 97 
526903 1397490 300 6.0e-10 5.9e-79 9.1e-60 1.5e-43 3.7e-25 5.3e-12 0.00019 1.7 98 
526766 1397866 300 3.2e-10 3.0e-83 4.3e-63 4.6e-46 1.1e-26 7.9e-13 7.4e-05 1.1 99 
526628 1398247 300 1.7e-10 1.0e-87 1.5e-66 1.1e-48 2.8e-28 1.1e-13 2.7e-05 0.71 99 
526488 1398632 300 9.0e-11 2.3e-92 3.7e-70 2.3e-51 6.0e-30 1.4e-14 9.5e-06 0.44 1.0e+02 
526346 1399022 300 4.7e-11 3.6e-97 6.9e-74 3.5e-54 1.1e-31 1.6e-15 3.2e-06 0.27 1.0e+02 
526202 1399417 300 2.5e-11 3.5e-102 9.0e-78 4.1e-57 1.8e-33 1.7e-16 1.0e-06 0.16 1.0e+02 
526057 1399816 300 1.3e-11 2.3e-107 8.6e-82 3.8e-60 2.4e-35 1.7e-17 3.2e-07 0.090 1.0e+02 
525910 1400220 300 6.5e-12 9.6e-113 5.7e-86 2.7e-63 2.8e-37 1.5e-18 9.2e-08 0.050 1.0e+02 
525761 1400629 300 3.3e-12 2.5e-118 2.7e-90 1.5e-66 2.7e-39 1.2e-19 2.6e-08 0.027 1.0e+02 
525610 1401042 300 1.7e-12 4.2e-124 8.7e-95 6.1e-70 2.2e-41 9.0e-21 6.8e-09 0.014 1.0e+02 
525458 1401460 300 8.5e-13 4.4e-130 2.0e-99 1.9e-73 1.5e-43 6.0e-22 1.7e-09 0.0072 1.0e+02 
525304 1401883 300 4.2e-13 2.8e-136 3.0e-104 4.4e-77 8.2e-46 3.6e-23 4.2e-10 0.0035 1.0e+02 
525149 1402311 300 2.1e-13 1.1e-142 3.2e-109 7.6e-81 3.8e-48 1.9e-24 9.5e-11 0.0017 1.0e+02 
524991 1402743 300 1.0e-13 2.6e-149 2.2e-114 9.8e-85 1.5e-50 9.3e-26 2.1e-11 0.00078 1.0e+02 
524832 1403180 300 4.9e-14 3.6e-156 1.1e-119 9.2e-89 4.7e-53 4.0e-27 4.2e-12 0.00035 1.0e+02 
524672 1403622 300 2.3e-14 3.0e-163 3.3e-125 6.3e-93 1.2e-55 1.6e-28 8.2e-13 0.00015 1.0e+02 
524509 1404068 300 1.1e-14 1.4e-170 6.7e-131 3.2e-97 2.6e-58 5.4e-30 1.5e-13 6.3e-05 1.0e+02 
524345 1404519 300 5.2e-15 4.0e-178 8.9e-137 1.1e-101 4.5e-61 1.7e-31 2.6e-14 2.5e-05 1.0e+02 
524179 1404975 300 2.4e-15 6.3e-186 7.6e-143 2.9e-106 6.3e-64 4.5e-33 4.3e-15 9.9e-06 1.0e+02 
524011 1405435 300 1.1e-15 5.7e-194 4.2e-149 5.4e-111 7.1e-67 1.1e-34 6.7e-16 3.8e-06 1.0e+02 
523842 1405900 300 5.1e-16 2.9e-202 1.5e-155 7.0e-116 6.4e-70 2.3e-36 9.7e-17 1.4e-06 1.0e+02 
523671 1406370 300 2.3e-16 7.7e-211 3.1e-162 6.3e-121 4.6e-73 4.4e-38 1.3e-17 4.8e-07 1.0e+02 
523498 1406845 300 1.0e-16 1.1e-219 4.1e-169 3.9e-126 2.6e-76 7.2e-40 1.7e-18 1.6e-07 1.0e+02 
523324 1407324 300 4.4e-17 9.1e-229 3.5e-176 1.7e-131 1.2e-79 1.0e-41 2.0e-19 5.3e-08 1.0e+02 
523148 1407808 300 1.9e-17 3.8e-238 1.7e-183 5.1e-137 4.2e-83 1.3e-43 2.3e-20 1.7e-08 1.0e+02 
522970 1408297 300 8.1e-18 8.4e-248 5.2e-191 1.0e-142 1.2e-86 1.4e-45 2.3e-21 5.0e-09 1.0e+02 
522790 1408790 300 3.4e-18 9.7e-258 9.5e-199 1.4e-148 2.5e-90 1.4e-47 2.3e-22 1.5e-09 1.0e+02 
522609 1409288 300 1.4e-18 5.7e-268 1.0e-206 1.3e-154 4.3e-94 1.1e-49 2.1e-23 4.1e-10 1.0e+02 
522426 1409791 300 5.8e-19 1.7e-278 6.4e-215 8.0e-161 5.6e-98 8.1e-52 1.7e-24 1.1e-10 1.0e+02 
522241 1410298 300 2.3e-19 2.5e-289 2.4e-223 3.2e-167 5.6e-102 5.0e-54 1.4e-25 2.9e-11 1.0e+02 
522055 1410810 300 9.2e-20 1.8e-300 5.0e-232 8.6e-174 4.3e-106 2.7e-56 9.8e-27 7.1e-12 1.0e+02 
521867 1411327 300 3.6e-20 0.0 5.9e-241 1.5e-180 2.5e-110 1.2e-58 6.5e-28 1.7e-12 1.0e+02 
521677 1411849 300 1.4e-20 0.0 3.9e-250 1.6e-187 1.1e-114 4.7e-61 4.0e-29 3.9e-13 1.0e+02 
521486 1412375 300 5.2e-21 0.0 1.5e-259 1.2e-194 3.7e-119 1.6e-63 2.3e-30 8.7e-14 1.0e+02 
521292 1412906 300 1.9e-21 0.0 3.0e-269 5.2e-202 9.3e-124 4.4e-66 1.2e-31 1.9e-14 1.0e+02 
521097 1413441 300 7.0e-22 0.0 3.4e-279 1.5e-209 1.8e-128 1.1e-68 5.8e-33 3.8e-15 1.0e+02 
520901 1413982 300 2.5e-22 0.0 2.0e-289 2.7e-217 2.4e-133 2.1e-71 2.5e-34 7.4e-16 1.0e+02 
520702 1414527 300 8.8e-23 0.0 5.6e-300 2.9e-225 2.5e-138 3.6e-74 1.0e-35 1.4e-16 1.0e+02 
520502 1415077 300 3.0e-23 0.0 0.0 2.0e-233 1.9e-143 5.2e-77 3.8e-37 2.5e-17 1.0e+02 
520300 1415631 300 1.0e-23 0.0 0.0 8.2e-242 1.0e-148 6.3e-80 1.3e-38 4.3e-18 1.0e+02 
520097 1416190 300 3.4e-24 0.0 0.0 2.1e-250 4.2e-154 6.3e-83 4.0e-40 7.1e-19 1.0e+02 
519892 1416754 300 1.1e-24 0.0 0.0 3.1e-259 1.2e-159 5.3e-86 1.1e-41 1.1e-19 1.0e+02 
519685 1417322 300 3.6e-25 0.0 0.0 2.8e-268 2.6e-165 3.7e-89 2.9e-43 1.7e-20 1.0e+02 
519476 1417896 300 1.1e-25 0.0 0.0 1.4e-277 3.8e-171 2.1e-92 6.6e-45 2.4e-21 1.0e+02 
519266 1418473 300 3.4e-26 0.0 0.0 4.6e-287 4.2e-177 1.0e-95 1.4e-46 3.4e-22 1.0e+02 
519054 1419056 300 1.0e-26 0.0 0.0 0.0 3.1e-183 4.0e-99 2.6e-48 4.4e-23 1.0e+02 
518840 1419643 300 3.0e-27 0.0 0.0 0.0 1.7e-189 1.3e-102 4.6e-50 5.5e-24 1.0e+02 
518625 1420235 300 8.4e-28 0.0 0.0 0.0 6.3e-196 3.4e-106 7.1e-52 6.6e-25 1.0e+02 
518407 1420832 300 2.4e-28 0.0 0.0 0.0 1.6e-202 7.3e-110 9.8e-54 7.4e-26 1.0e+02 
518189 1421434 300 6.4e-29 0.0 0.0 0.0 2.9e-209 1.3e-113 1.2e-55 8.0e-27 1.0e+02 
517968 1422040 300 1.7e-29 0.0 0.0 0.0 3.6e-216 1.8e-117 1.4e-57 8.2e-28 1.0e+02 
517746 1422650 300 4.4e-30 0.0 0.0 0.0 3.1e-223 2.1e-121 1.4e-59 8.0e-29 1.0e+02 
517522 1423266 300 1.1e-30 0.0 0.0 0.0 1.8e-230 1.9e-125 1.3e-61 7.4e-30 1.0e+02 
517296 1423886 300 2.7e-31 0.0 0.0 0.0 7.0e-238 1.4e-129 1.0e-63 6.5e-31 1.0e+02 
517068 1424511 300 6.5e-32 0.0 0.0 0.0 1.8e-245 8.5e-134 7.5e-66 5.3e-32 1.0e+02 
516839 1425141 300 1.5e-32 0.0 0.0 0.0 3.2e-253 4.0e-138 4.8e-68 4.2e-33 1.0e+02 
516608 1425775 300 3.4e-33 0.0 0.0 0.0 3.8e-261 1.5e-142 2.8e-70 3.1e-34 1.0e+02 
516376 1426414 300 7.5e-34 0.0 0.0 0.0 2.9e-269 4.6e-147 1.4e-72 2.1e-35 1.0e+02 
516142 1427058 300 1.6e-34 0.0 0.0 0.0 1.5e-277 1.1e-151 6.3e-75 1.4e-36 1.0e+02 
515906 1427706 300 3.3e-35 0.0 0.0 0.0 5.0e-286 2.0e-156 2.5e-77 8.7e-38 1.0e+02 
515668 1428359 300 6.7e-36 0.0 0.0 0.0 0.0 2.9e-161 8.8e-80 5.1e-39 1.0e+02 
515428 1429017 300 1.3e-36 0.0 0.0 0.0 0.0 3.3e-166 2.7e-82 2.8e-40 1.0e+02 
515187 1429679 300 2.5e-37 0.0 0.0 0.0 0.0 3.0e-171 7.5e-85 1.4e-41 1.0e+02 
514944 1430347 300 4.6e-38 0.0 0.0 0.0 0.0 2.0e-176 1.8e-87 6.9e-43 1.0e+02 
514700 1431018 300 8.2e-39 0.0 0.0 0.0 0.0 1.1e-181 3.7e-90 3.1e-44 1.0e+02 
514454 1431695 300 1.4e-39 0.0 0.0 0.0 0.0 4.5e-187 6.8e-93 1.3e-45 1.0e+02 
514206 1432376 300 2.4e-40 0.0 0.0 0.0 0.0 1.4e-192 1.1e-95 5.2e-47 1.0e+02 
513956 1433062 300 3.8e-41 0.0 0.0 0.0 0.0 3.4e-198 1.5e-98 1.9e-48 1.0e+02 
513705 1433753 300 6.0e-42 0.0 0.0 0.0 0.0 6.2e-204 1.9e-101 6.6e-50 1.0e+02 
513452 1434448 300 9.1e-43 0.0 0.0 0.0 0.0 8.7e-210 2.0e-104 2.1e-51 1.0e+02 
513197 1435148 300 1.3e-43 0.0 0.0 0.0 0.0 9.2e-216 1.8e-107 6.4e-53 1.0e+02 
512940 1435853 300 1.9e-44 0.0 0.0 0.0 0.0 7.2e-222 1.4e-110 1.8e-54 1.0e+02 
512682 1436563 300 2.6e-45 0.0 0.0 0.0 0.0 4.2e-228 9.4e-114 4.5e-56 1.0e+02 
512422 1437277 300 3.4e-46 0.0 0.0 0.0 0.0 1.9e-234 5.5e-117 1.1e-57 1.0e+02 
512160 1437996 300 4.3e-47 0.0 0.0 0.0 0.0 6.2e-241 2.8e-120 2.4e-59 1.0e+02 
511897 1438719 300 5.3e-48 0.0 0.0 0.0 0.0 1.5e-247 1.2e-123 4.9e-61 1.0e+02 
511632 1439447 300 6.3e-49 0.0 0.0 0.0 0.0 2.8e-254 4.4e-127 9.3e-63 1.0e+02 
511365 1440180 300 7.3e-50 0.0 0.0 0.0 0.0 3.7e-261 1.4e-130 1.6e-64 1.0e+02 
511097 1440918 300 8.0e-51 0.0 0.0 0.0 0.0 3.6e-268 3.7e-134 2.6e-66 1.0e+02 
510827 1441660 300 8.5e-52 0.0 0.0 0.0 0.0 0.0 8.5e-138 3.9e-68 1.0e+02 
510555 1442407 300 8.7e-53 0.0 0.0 0.0 0.0 0.0 1.6e-141 5.3e-70 1.0e+02 
510281 1443159 300 8.5e-54 0.0 0.0 0.0 0.0 0.0 2.7e-145 6.6e-72 1.0e+02 
510006 1443916 300 8.1e-55 0.0 0.0 0.0 0.0 0.0 3.7e-149 7.6e-74 1.0e+02 
509729 1444677 300 7.3e-56 0.0 0.0 0.0 0.0 0.0 4.3e-153 8.0e-76 1.0e+02 
509450 1445443 300 6.4e-57 0.0 0.0 0.0 0.0 0.0 4.2e-157 7.7e-78 1.0e+02 
509169 1446213 300 5.4e-58 0.0 0.0 0.0 0.0 0.0 3.4e-161 6.8e-80 1.0e+02 
508887 1446988 300 4.4e-59 0.0 0.0 0.0 0.0 0.0 2.4e-165 5.5e-82 1.0e+02 
508603 1447768 300 3.4e-60 0.0 0.0 0.0 0.0 0.0 1.3e-169 4.0e-84 1.0e+02 
508318 1448553 300 2.5e-61 0.0 0.0 0.0 0.0 0.0 6.4e-174 2.7e-86 1.0e+02 
508031 1449342 300 1.8e-62 0.0 0.0 0.0 0.0 0.0 2.6e-178 1.6e-88 1.0e+02 
507742 1450136 300 1.2e-63 0.0 0.0 0.0 0.0 0.0 8.4e-183 9.0e-91 1.0e+02 
507451 1450935 300 8.1e-65 0.0 0.0 0.0 0.0 0.0 2.3e-187 4.5e-93 1.0e+02 
507158 1451739 300 5.1e-66 0.0 0.0 0.0 0.0 0.0 5.1e-192 2.0e-95 1.0e+02 
506864 1452547 300 3.1e-67 0.0 0.0 0.0 0.0 0.0 9.4e-197 8.3e-98 1.0e+02 
506568 1453360 300 1.8e-68 0.0 0.0 0.0 0.0 0.0 1.4e-201 3.1e-100 1.0e+02 
506271 1454177 300 9.8e-70 0.0 0.0 0.0 0.0 0.0 1.8e-206 1.0e-102 1.0e+02 
505972 1454999 300 5.2e-71 0.0 0.0 0.0 0.0 0.0 1.8e-211 3.1e-105 1.0e+02 
505671 1455826 300 2.6e-72 0.0 0.0 0.0 0.0 0.0 1.5e-216 8.5e-108 1.0e+02 
505368 1456658 300 1.3e-73 0.0 0.0 0.0 0.0 0.0 1.0e-221 2.1e-110 1.0e+02 
505063 1457494 300 5.8e-75 0.0 0.0 0.0 0.0 0.0 5.6e-227 4.6e-113 1.0e+02 
504757 1458335 300 2.5e-76 0.0 0.0 0.0 0.0 0.0 2.5e-232 9.0e-116 1.0e+02 
504450 1459181 300 1.1e-77 0.0 0.0 0.0 0.0 0.0 9.0e-238 1.6e-118 1.0e+02 
504140 1460031 300 4.3e-79 0.0 0.0 0.0 0.0 0.0 2.3e-243 2.5e-121 1.0e+02 
503829 1460887 300 1.6e-80 0.0 0.0 0.0 0.0 0.0 0.0 3.5e-124 1.0e+02 
503516 1461746 300 6.0e-82 0.0 0.0 0.0 0.0 0.0 0.0 4.4e-127 1.0e+02 
503201 1462611 300 2.1e-83 0.0 0.0 0.0 0.0 0.0 0.0 4.9e-130 1.0e+02 
502885 1463480 300 6.8e-85 0.0 0.0 0.0 0.0 0.0 0.0 4.9e-133 1.0e+02 
502567 1464354 300 2.1e-86 0.0 0.0 0.0 0.0 0.0 0.0 4.3e-136 1.0e+02 
502247 1465233 300 6.4e-88 0.0 0.0 0.0 0.0 0.0 0.0 3.4e-139 1.0e+02 
501925 1466116 300 1.8e-89 0.0 0.0 0.0 0.0 0.0 0.0 2.4e-142 1.0e+02 
